StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Statement,Age,Unit completion,First Consent,Q22,Q1,Q2,Q3,Q6,Q6_6_TEXT,Q7,Q8,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q12,Q12_15_TEXT,Q13_16,Q13_18,Q13_11,Q13_14,Q13_12,Q13_20,Q13_10,Q13_17,Q13_15,Q13_19,Q13_9,Q13_13,Q21_16,Q21_18,Q21_11,Q21_14,Q21_12,Q21_20,Q21_10,Q21_17,Q21_15,Q21_19,Q21_9,Q21_13,Q4,Q4_4_TEXT,Q9,Q9_6_TEXT,Q_DataPolicyViolations
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Have you read the explanatory statement?,Are you 18 years or older?,Have you chosen your engineering specialisation and completed at least one unit in that specialisation?,Do you agree to participate in this study and provide consent for the researchers to use the data you provide in this survey? No identifiable information will be collected.,How many years of your engineering studies have you completed?,What is your engineering specialisation?,Do you think your specialisation was the correct choice for you?,"What specialisation would you pick instead, if given the choice?",What resources did you use when selecting your specialisation? - Selected Choice,What resources did you use when selecting your specialisation? - Other (please elaborate) - Text,"Before coming to university and doing the common first year engineering units, did you have any idea of the specialisation you wanted to do?",Did this specialisation choice change after first year?,"What were the results of your ITP Metrics Personality Assessment?
Please estimate to the best of your ability, it does not have to be exact - Extraversion","What were the results of your ITP Metrics Personality Assessment?
Please estimate to the best of your ability, it does not have to be exact - Emotionality","What were the results of your ITP Metrics Personality Assessment?
Please estimate to the best of your ability, it does not have to be exact - Conscientiousness","What were the results of your ITP Metrics Personality Assessment?
Please estimate to the best of your ability, it does not have to be exact - Agreeableness","What were the results of your ITP Metrics Personality Assessment?
Please estimate to the best of your ability, it does not have to be exact - Openness","Please select the hobbies/activities you enjoy in your spare time
(Please select up to 5 options) - Selected Choice","Please select the hobbies/activities you enjoy in your spare time
(Please select up to 5 options) - Other - Text","The following topics were covered in your first-year engineering foundation units.
Please choose the four content items that you found most interesting. - Chemical processes (waste water)","The following topics were covered in your first-year engineering foundation units.
Please choose the four content items that you found most interesting. - Circuits","The following topics were covered in your first-year engineering foundation units.
Please choose the four content items that you found most interesting. - Coding","The following topics were covered in your first-year engineering foundation units.
Please choose the four content items that you found most interesting. - Computer aided design (CAD)","The following topics were covered in your first-year engineering foundation units.
Please choose the four content items that you found most interesting. - Data analysis","The following topics were covered in your first-year engineering foundation units.
Please choose the four content items that you found most interesting. - Dynamics","The following topics were covered in your first-year engineering foundation units.
Please choose the four content items that you found most interesting. - Engineering design","The following topics were covered in your first-year engineering foundation units.
Please choose the four content items that you found most interesting. - Materials properties","The following topics were covered in your first-year engineering foundation units.
Please choose the four content items that you found most interesting. - Numerical modelling","The following topics were covered in your first-year engineering foundation units.
Please choose the four content items that you found most interesting. - Smart systems","The following topics were covered in your first-year engineering foundation units.
Please choose the four content items that you found most interesting. - Statics","The following topics were covered in your first-year engineering foundation units.
Please choose the four content items that you found most interesting. - 3D printing","Please rank these content choices in terms of interest

1 = most interesting, 4 = least interesting - Chemical processes (waste water)","Please rank these content choices in terms of interest

1 = most interesting, 4 = least interesting - Circuits","Please rank these content choices in terms of interest

1 = most interesting, 4 = least interesting - Coding","Please rank these content choices in terms of interest

1 = most interesting, 4 = least interesting - Computer aided design (CAD)","Please rank these content choices in terms of interest

1 = most interesting, 4 = least interesting - Data analysis","Please rank these content choices in terms of interest

1 = most interesting, 4 = least interesting - Dynamics","Please rank these content choices in terms of interest

1 = most interesting, 4 = least interesting - Engineering design","Please rank these content choices in terms of interest

1 = most interesting, 4 = least interesting - Materials properties","Please rank these content choices in terms of interest

1 = most interesting, 4 = least interesting - Numerical modelling","Please rank these content choices in terms of interest

1 = most interesting, 4 = least interesting - Smart systems","Please rank these content choices in terms of interest

1 = most interesting, 4 = least interesting - Statics","Please rank these content choices in terms of interest

1 = most interesting, 4 = least interesting - 3D printing","Please choose the most accurate reason for your ideal specialisation choice:
I chose this specialisation because it best fits my... - Selected Choice","Please choose the most accurate reason for your ideal specialisation choice:
I chose this specialisation because it best fits my... - Other (please elaborate) - Text","You mentioned that your expected specialisation choice changed after first year. 

Please choose the most accurate reason for this change.
I changed my ideal specialisation choice to better reflect my... - Selected Choice","You mentioned that your expected specialisation choice changed after first year. 

Please choose the most accurate reason for this change.
I changed my ideal specialisation choice to better reflect my... - Other (please elaborate) - Text",Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""Australia/Sydney""}","{""ImportId"":""endDate"",""timeZone"":""Australia/Sydney""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Australia/Sydney""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID35""}","{""ImportId"":""QID10""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID43""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14""}","{""ImportId"":""QID16""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_6_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID21_4""}","{""ImportId"":""QID21_5""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_15_TEXT""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID26_2""}","{""ImportId"":""QID26_3""}","{""ImportId"":""QID26_4""}","{""ImportId"":""QID26_5""}","{""ImportId"":""QID26_6""}","{""ImportId"":""QID26_7""}","{""ImportId"":""QID26_8""}","{""ImportId"":""QID26_9""}","{""ImportId"":""QID26_10""}","{""ImportId"":""QID26_11""}","{""ImportId"":""QID26_12""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID42_2""}","{""ImportId"":""QID42_3""}","{""ImportId"":""QID42_4""}","{""ImportId"":""QID42_5""}","{""ImportId"":""QID42_6""}","{""ImportId"":""QID42_7""}","{""ImportId"":""QID42_8""}","{""ImportId"":""QID42_9""}","{""ImportId"":""QID42_10""}","{""ImportId"":""QID42_11""}","{""ImportId"":""QID42_12""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_4_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID30_6_TEXT""}","{""ImportId"":""Q_DataPolicyViolations""}"
2025-05-22 12:23:16,2025-05-22 12:26:16,IP Address,100,179,True,2025-05-22 12:26:17,R_4kHe2zXMdzqx9J4,qr,EN,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-20 14:18:47,2025-05-20 14:20:57,IP Address,9,130,False,2025-05-27 14:20:58,R_4dBcJlnX3NA3MeX,anonymous,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-20 14:23:33,2025-05-20 14:23:41,IP Address,10,7,False,2025-05-27 14:23:41,R_9aISh4ooFqsrDWf,qr,EN,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-27 15:06:18,2025-05-27 15:12:13,IP Address,100,355,True,2025-05-27 15:12:14,R_4P1Yk73sk44vAbk,qr,EN,Yes,Yes,Yes,Yes,2,Materials,Yes,,"Monash staff,Student teams/clubs",,No,,88,87,92,89,82,"Arts and crafts,Board games,Gaming,Music,Reading",,5,7,2,6,8,9,1,3,10,11,12,4,3,7,4,5,10,9,1,8,11,2,12,6,Personality,,,,
2025-05-22 09:29:17,2025-05-22 09:30:16,IP Address,14,59,False,2025-05-29 09:30:19,R_4fCuJrkmkh043Uy,qr,EN,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-29 11:49:45,2025-05-29 11:54:01,IP Address,100,255,True,2025-05-29 11:54:01,R_9fM7Yk7sWf7uc13,qr,EN,Yes,Yes,Yes,Yes,2,Mechatronics,Yes,,"Friends/family,Independent research,Monash staff,Unit content",,Yes,Yes,62,54,54,59,51,"Board games,Bouldering,Gaming,Programming or other computer-related activities,3D printing",,5,2,3,6,7,1,9,8,10,11,12,4,5,2,4,6,7,1,8,9,10,11,12,3,Personality,,Other (please elaborate),"Job prospects ",
2025-05-30 13:39:33,2025-05-30 13:43:16,IP Address,100,223,True,2025-05-30 13:43:16,R_49LGcuOvphiHkMV,qr,EN,Yes,Yes,Yes,Yes,4,Mechanical,Yes,,"Friends/family,Unit content",,Yes,No,61,22,55,57,66,"Gaming,Lego",,9,5,6,1,7,2,3,8,10,11,12,4,7,1,2,3,4,5,6,8,9,10,11,12,Personality,,,,
2025-05-23 17:51:52,2025-05-23 17:53:34,IP Address,71,102,False,2025-05-30 17:53:37,R_9HTH4GKXQTtUc7K,qr,EN,Yes,Yes,Yes,Yes,3,Materials,Yes,,"Monash faculty briefings,Monash faculty website,Unit content",,Yes,No,54,16,68,57,76,"Music,Sports,Travelling",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
